feature,mean_coverage,mean_gap,max_gap,continuous_rate,intermittent_rate,sparse_rate,n_stays
heart_rate,0.9475199581206648,1.0501145485072005,1.9192186886533176,0.9852767962308598,0.00013087292239235702,3.2718230598089256e-05,30564
resp_rate,0.9376364554336554,1.0765631567202738,2.0939905027018177,0.9775667267070575,0.0008842312100867856,6.549860815457672e-05,30535
spo2,0.9325524071286784,1.0760870185895604,2.178653229500687,0.9757214841960604,0.0006871278057718735,9.816111511026766e-05,30562
map,0.8907891213343389,1.2474146804232689,2.7247926025510707,0.9278945470046234,0.0042299242548447386,0.0005246417680427583,30497
sbp,0.8903374316939892,1.2499123081650068,2.7138360655737706,0.9282950819672131,0.004098360655737705,0.0005573770491803278,30500
dbp,0.8902764571516006,1.248553780054864,2.714187350404931,0.9282271549886881,0.004131282992885013,0.0005573953244368668,30499
urine_output,0.580402107598447,2.8802777401656656,5.999267886855241,0.5070881863560732,0.13660565723793677,0.009284525790349418,30050
temperature_c,0.42374773492104584,4.711577503597686,5.866683924411079,0.7478643541289154,0.013461040641988092,0.0010354646647683149,3863
gcs_eye,0.31208000610900205,4.091702849460288,7.238447440764498,0.0898677837413274,0.4716585940568137,0.001538159444953528,30556
gcs_verbal,0.31170902475479767,4.092110212887599,7.250253657578634,0.08968022780087062,0.4734068667561287,0.0015055804667299447,30553
gcs_motor,0.31092633502427314,4.10800739418786,7.286859761086565,0.08980526918671249,0.4764850270004909,0.0014072983145148093,30555
temperature_f,0.2534229984701683,4.67646835310498,6.986367499575047,0.004249532551419344,0.27672955974842767,0.0033656297807241205,29415
glucose,0.20250681384573452,7.58177943152149,12.181030253475061,0.03165985282093214,0.593033524121014,0.11931316434995912,30575
