feature,Mean ± SD,Median (IQR),Range,Availability
dbp_coverage,0.89 ± 0.17,0.94 (0.88–0.98),0.0–1.0,30499 (99.6%)
dbp_density,1.11 ± 0.35,1.06 (0.98–1.25),0.0–6.96,30499 (99.6%)
dbp_freq,53.48 ± 16.89,51.0 (47.0–60.0),0.0–334.0,30499 (99.6%)
dbp_irregularity,0.49 ± 0.79,0.37 (0.26–0.47),0.0–20.3,30416 (99.4%)
gcs_eye_coverage,0.31 ± 0.19,0.25 (0.21–0.31),0.0–1.0,30556 (99.8%)
gcs_eye_density,0.32 ± 0.2,0.25 (0.21–0.31),0.0–1.27,30556 (99.8%)
gcs_eye_freq,15.22 ± 9.72,12.0 (10.0–15.0),0.0–61.0,30556 (99.8%)
gcs_eye_irregularity,1.53 ± 1.24,1.14 (0.58–2.38),0.0–12.46,30470 (99.5%)
gcs_motor_coverage,0.31 ± 0.19,0.25 (0.21–0.31),0.0–1.0,30555 (99.8%)
gcs_motor_density,0.32 ± 0.2,0.25 (0.21–0.31),0.0–1.27,30555 (99.8%)
gcs_motor_freq,15.16 ± 9.71,12.0 (10.0–15.0),0.0–61.0,30555 (99.8%)
gcs_motor_irregularity,1.54 ± 1.25,1.15 (0.58–2.41),0.0–14.07,30464 (99.5%)
gcs_verbal_coverage,0.31 ± 0.19,0.25 (0.21–0.31),0.0–1.0,30553 (99.8%)
gcs_verbal_density,0.32 ± 0.2,0.25 (0.21–0.31),0.0–1.27,30553 (99.8%)
gcs_verbal_freq,15.2 ± 9.71,12.0 (10.0–15.0),0.0–61.0,30553 (99.8%)
gcs_verbal_irregularity,1.53 ± 1.24,1.15 (0.58–2.39),0.0–15.08,30466 (99.5%)
glucose_coverage,0.2 ± 0.15,0.17 (0.1–0.25),0.0–1.0,30575 (99.9%)
glucose_density,0.21 ± 0.17,0.19 (0.1–0.25),0.0–1.94,30575 (99.9%)
glucose_freq,10.31 ± 8.04,9.0 (5.0–12.0),0.0–93.0,30575 (99.9%)
glucose_irregularity,2.84 ± 2.11,2.29 (1.62–3.47),0.0–20.71,28670 (93.7%)
heart_rate_coverage,0.95 ± 0.09,0.98 (0.94–1.0),0.0–1.0,30564 (99.8%)
heart_rate_density,1.12 ± 0.25,1.06 (1.0–1.19),0.0–6.98,30564 (99.8%)
heart_rate_freq,53.71 ± 12.08,51.0 (48.0–57.0),0.0–335.0,30564 (99.8%)
heart_rate_irregularity,0.33 ± 0.26,0.3 (0.2–0.39),0.0–18.27,30537 (99.8%)
map_coverage,0.89 ± 0.17,0.94 (0.88–0.98),0.0–1.0,30497 (99.6%)
map_density,1.11 ± 0.35,1.06 (0.98–1.25),0.0–6.98,30497 (99.6%)
map_freq,53.51 ± 17.0,51.0 (47.0–60.0),0.0–335.0,30497 (99.6%)
map_irregularity,0.49 ± 0.79,0.37 (0.26–0.47),0.0–20.3,30410 (99.3%)
resp_rate_coverage,0.94 ± 0.11,0.98 (0.92–1.0),0.0–1.0,30535 (99.7%)
resp_rate_density,1.1 ± 0.26,1.06 (1.0–1.17),0.0–6.92,30535 (99.7%)
resp_rate_freq,52.99 ± 12.41,51.0 (48.0–56.0),0.0–332.0,30535 (99.7%)
resp_rate_irregularity,0.35 ± 0.42,0.3 (0.2–0.4),0.0–18.26,30492 (99.6%)
sbp_coverage,0.89 ± 0.17,0.94 (0.88–0.98),0.0–1.0,30500 (99.6%)
sbp_density,1.11 ± 0.35,1.06 (0.98–1.25),0.0–6.96,30500 (99.6%)
sbp_freq,53.49 ± 16.89,51.0 (47.0–60.0),0.0–334.0,30500 (99.6%)
sbp_irregularity,0.49 ± 0.79,0.37 (0.26–0.47),0.0–20.3,30416 (99.4%)
spo2_coverage,0.93 ± 0.1,0.96 (0.92–1.0),0.0–1.0,30562 (99.8%)
spo2_density,1.1 ± 0.25,1.04 (1.0–1.17),0.0–6.9,30562 (99.8%)
spo2_freq,52.75 ± 11.76,50.0 (48.0–56.0),0.0–331.0,30562 (99.8%)
spo2_irregularity,0.37 ± 0.36,0.31 (0.21–0.41),0.0–18.31,30533 (99.7%)
temperature_c_coverage,0.05 ± 0.17,0.0 (0.0–0.0),0.0–1.0,3863 (12.6%)
temperature_c_density,0.07 ± 0.22,0.0 (0.0–0.0),0.0–3.02,3863 (12.6%)
temperature_c_freq,3.18 ± 10.49,0.0 (0.0–0.0),0.0–145.0,3863 (12.6%)
temperature_c_irregularity,0.07 ± 0.44,0.0 (0.0–0.0),0.0–19.85,3446 (11.3%)
temperature_f_coverage,0.24 ± 0.09,0.25 (0.23–0.29),0.0–0.92,29415 (96.1%)
temperature_f_density,0.25 ± 0.1,0.25 (0.23–0.29),0.0–1.33,29415 (96.1%)
temperature_f_freq,12.01 ± 4.97,12.0 (11.0–14.0),0.0–64.0,29415 (96.1%)
temperature_f_irregularity,1.21 ± 1.39,1.06 (0.6–1.45),0.0–22.58,28402 (92.8%)
urine_output_coverage,0.57 ± 0.28,0.62 (0.31–0.81),0.0–1.0,30050 (98.2%)
urine_output_density,0.58 ± 0.29,0.65 (0.33–0.83),0.0–3.15,30050 (98.2%)
urine_output_freq,27.99 ± 13.95,31.0 (16.0–40.0),0.0–151.0,30050 (98.2%)
urine_output_irregularity,1.22 ± 1.48,0.69 (0.4–1.51),0.0–22.1,29486 (96.3%)
